epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1611,2.3223,55.7655,0.91271,0,0,0,0,0.95505,9.45312,0.3317,0,0,0
2,13.2176,3.82415,58.0088,1.18573,0,0,0,0,0.95505,9.65625,0.3326,1.802e-05,1.802e-05,1.802e-05
3,14.1792,4.15031,32.7784,1.27049,0,0,0,0,0.95513,9.70312,0.33255,3.208e-05,3.208e-05,3.208e-05
4,15.1015,5.82938,72.7149,1.47199,0,0,0,0,0.95514,9.875,0.33379,4.218e-05,4.218e-05,4.218e-05
5,15.9963,1.28515,79.294,0.52107,0,0,0,0,0.95523,10.0703,0.33558,4.832e-05,4.832e-05,4.832e-05
6,16.8977,4.96405,78.7887,1.91298,0,0,0,0,0.9553,10.1719,0.33552,5.05e-05,5.05e-05,5.05e-05
7,17.7963,4.91451,57.0968,1.38566,0,0,0,0,0.95539,10.2266,0.33582,4.872e-05,4.872e-05,4.872e-05
8,18.718,4.48036,48.7323,1.20126,0,0,0,0,0.95548,10.3125,0.33626,4.298e-05,4.298e-05,4.298e-05
9,19.5664,4.27808,81.0871,1.44249,0,0,0,0,0.95548,10.3125,0.33626,3.328e-05,3.328e-05,3.328e-05
10,20.4769,4.65468,79.1284,1.16068,0,0,0,0,0.95552,10.3828,0.33678,1.962e-05,1.962e-05,1.962e-05
